index,mean,std,percentile,name,meanhue,std hue
337,164.1752027,9.816258647,0.095603571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\54.JPG,0.002772504,0.009705564
338,164.4939864,11.29299923,0.085817857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\55.JPG,0.029695407,0.217755927
339,164.3952431,9.286412667,0.0958,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\56.JPG,0.003985347,0.045355774
340,166.1617559,7.745682195,0.083878571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\57.JPG,0.002854534,0.005344878
341,166.0323407,7.87743163,0.086467857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\58.JPG,0.00278837,0.005384258
342,164.2967744,11.06136486,0.093782143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\59.JPG,0.029402377,0.219263363
343,165.2610563,8.918165066,0.092303571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\6.JPG,0.004660702,0.02762523
344,165.6971351,8.446131856,0.087014286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\60.JPG,0.002601227,0.005079917
345,164.7290644,8.867609186,0.093142857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\61.JPG,0.002448823,0.005127253
346,164.5221534,9.373017639,0.092214286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\62.JPG,0.010018616,0.099351676
347,165.5292777,7.356436187,0.089292857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\63.JPG,0.002073365,0.004426127
348,165.3685925,7.579377026,0.090992857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\64.JPG,0.002207826,0.004502244
349,165.3159194,7.659821313,0.092564286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\65.JPG,0.002458439,0.004707304
350,164.3069565,8.128022044,0.050775,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\66.JPG,0.002534582,0.00485069
351,164.590776,9.921198012,0.092692857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\67.JPG,0.015660787,0.147456909
352,164.4969243,9.264273782,0.092892857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\68.JPG,0.002575599,0.005093891
353,163.9498862,10.74407759,0.092575,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\69.JPG,0.018398386,0.15142309
354,165.7344344,8.360168181,0.092121429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\7.JPG,0.003924317,0.005638659
355,165.5051673,8.344471835,0.08985,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\70.JPG,0.002609183,0.00520386
356,164.985102,8.548911889,0.093492857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\71.JPG,0.002518933,0.005519451
357,165.7430648,8.333899227,0.086,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\72.JPG,0.00277666,0.011701797
358,164.1562919,10.36835867,0.093117857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\73.JPG,0.016538714,0.156644025
359,164.2315157,9.808062212,0.093853571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\74.JPG,0.002733647,0.022010767
360,164.2404547,10.53747871,0.091107143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\75.JPG,0.023781133,0.193335955
361,165.4013085,7.672823388,0.090071429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\76.JPG,0.003255303,0.033077473
362,165.0197456,7.628126396,0.090978571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\77.JPG,0.003274082,0.036681938
363,165.1904073,7.582410794,0.088832143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\78.JPG,0.003516293,0.039823667
364,165.0348226,7.758768325,0.092407143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\79.JPG,0.003708925,0.042032457
365,166.1033529,7.737415385,0.08905,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\8.JPG,0.004023176,0.005550937
366,164.0389009,10.46125695,0.092542857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\80.JPG,0.025855012,0.199866961
367,164.2453314,9.123445835,0.093328571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\81.JPG,0.004476444,0.041294668
368,164.2559817,9.154633912,0.093589286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\82.JPG,0.004584958,0.044976283
369,164.0342724,9.854211763,0.091910714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\83.JPG,0.005774571,0.058169043
370,164.1453573,10.13795379,0.093464286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\84.JPG,0.011821512,0.109338277
371,164.5475022,9.036738932,0.093867857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\85.JPG,0.004570308,0.042651566
372,164.3331321,9.487733801,0.094675,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\86.JPG,0.005262206,0.04910615
373,163.5546129,12.14590927,0.0943,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\87.JPG,0.036498936,0.240750546
374,164.2766835,9.807321872,0.093557143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\88.JPG,0.00506259,0.056097181
375,164.4407276,9.449878815,0.092671429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\89.JPG,0.004502427,0.044895932
376,165.5092842,8.136337444,0.092707143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\9.JPG,0.004001154,0.005596191
377,164.3323019,9.83508111,0.092332143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\90.JPG,0.014207218,0.127910403
378,165.2281412,7.994782012,0.090842857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\91.JPG,0.00447015,0.041168293
379,165.4341804,7.742959748,0.090507143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\92.JPG,0.004199991,0.031035007
