index,mean,std,percentile,name,mean hue,std hue
6671,185.8676869,20.59464142,0.115985714,C:\opencv\nonwhite\498\4986\4986_CV041_StoneImage36_2018-04-03_024759.JPG,0.016739253,0.148655082
6672,187.1542131,18.86383601,0.117532143,C:\opencv\nonwhite\498\4986\4986_CV041_StoneImage74_2018-04-03_024759.JPG,0.013477437,0.127139377
6673,175.8991433,22.58868677,0.040439286,C:\opencv\nonwhite\499\499\499_CV020_StoneImage112_2018-11-14_041549.JPG,0.065183169,0.330898331
6674,175.9668592,20.86314408,0.040196429,C:\opencv\nonwhite\499\499\499_CV020_StoneImage36_2018-11-14_041549.JPG,0.057465339,0.309453308
6675,178.0565294,21.60937274,0.04075,C:\opencv\nonwhite\499\499\499_CV020_StoneImage74_2018-11-14_041549.JPG,0.034005844,0.190893351
6676,178.0162441,19.67697959,0.126639286,C:\opencv\nonwhite\5\5\5_CV006_StoneImage112_2017-12-22_182612.JPG,0.027445475,0.157776798
6677,176.3034019,20.36435318,0.127871429,C:\opencv\nonwhite\5\5\5_CV006_StoneImage36_2017-12-22_182612.JPG,0.056337768,0.30809132
6678,175.161866,19.91582499,0.128082143,C:\opencv\nonwhite\5\5\5_CV006_StoneImage74_2017-12-22_182612.JPG,0.053896818,0.300405631
6679,176.9150535,22.24703285,0.037082143,C:\opencv\nonwhite\5\5\5_CV014_StoneImage113_2018-03-13_003418.JPG,0.062013303,0.326199666
6680,177.5961129,17.68786491,0.036935714,C:\opencv\nonwhite\5\5\5_CV014_StoneImage37_2018-03-13_003418.JPG,0.020256604,0.141552269
6681,176.3214423,19.89437617,0.037242857,C:\opencv\nonwhite\5\5\5_CV014_StoneImage75_2018-03-13_003418.JPG,0.02322146,0.158948183
6682,170.8192864,18.92510628,0.051146429,C:\opencv\nonwhite\5\5\5_CV033_StoneImage112_2017-12-07_013826.JPG,0.040969356,0.252621791
6683,168.2353065,21.7749074,0.050982143,C:\opencv\nonwhite\5\5\5_CV033_StoneImage36_2017-12-07_013826.JPG,0.068541486,0.338502495
6684,172.1324257,20.35615054,0.051942857,C:\opencv\nonwhite\5\5\5_CV033_StoneImage74_2017-12-07_013826.JPG,0.032492476,0.203978168
6685,168.3040545,21.84147532,0.051882143,C:\opencv\nonwhite\5\5\5_CV040_StoneImage112_2020-01-29_085845.JPG,0.07318118,0.356914978
6686,174.1487863,18.80239345,0.052232143,C:\opencv\nonwhite\5\5\5_CV040_StoneImage36_2020-01-29_085845.JPG,0.025651177,0.193058286
6687,172.9146853,20.59342674,0.051071429,C:\opencv\nonwhite\5\5\5_CV040_StoneImage74_2020-01-29_085845.JPG,0.041007138,0.252217973
6688,156.0495579,23.85502742,0.048067857,C:\opencv\nonwhite\50\50\50_CV022_StoneImage112_2017-10-01_125048.JPG,0.108386653,0.363840221
6689,156.6824921,27.11798362,0.047692857,C:\opencv\nonwhite\50\50\50_CV022_StoneImage36_2017-10-01_125048.JPG,0.122244912,0.417297925
6690,153.8573766,26.65029335,0.048028571,C:\opencv\nonwhite\50\50\50_CV022_StoneImage74_2017-10-01_125048.JPG,0.157422948,0.486108388
